cnpj,razao_social,municipio_id,uf_sigla,data_abertura,socio_cpf
05.111.672/0001-98,Distribuidora Oliveira EPP,5207600,GO,2015-04-02,102.603.266-07
42.839.861/0001-08,Distribuidora Dias ME,4302659,RS,2008-12-04,
08.631.282/0009-94,Distribuidora Souza ME,4321709,RS,2018-02-19,
36.998.004/0001-58,Transportes Carvalho EIRELI,3532827,SP,2022-12-10,
08.897.285/0001-17,Indústria Araújo ME,2400208,RN,2016-03-29,
73.553.983/0001-67,Serviços Dias EIRELI,3516507,SP,2024-09-27,
92.536.267/0001-16,Consultoria Ferreira ME,2206308,PI,2018-03-21,
99.224.440/0001-90,Tecnologia Pereira Ltda,4102505,PR,2017-10-14,
13.086.627/0001-59,Logística Ribeiro S.A.,2704203,AL,2019-11-06,
08.062.416/0001-46,Logística Souza Ltda,2305100,CE,2015-02-27,
11.770.460/0001-15,Logística Lima Ltda,3103306,MG,2019-08-24,
00.389.817/0001-01,Comércio de Alimentos Alves S.A.,3108800,MG,2023-05-27,016.830.673-55
24.325.580/0001-55,Transportes Costa S.A.,2207009,PI,2009-04-18,583.977.248-85
94.641.745/0001-83,Transportes Pereira S.A.,4103958,PR,2011-04-24,
52.909.821/0001-49,Serviços Pereira EIRELI,2201572,PI,2025-04-13,
17.953.430/0001-20,Materiais Silva ME,1718881,TO,2025-09-28,
23.319.472/0001-07,Logística Almeida S.A.,4117800,PR,2018-08-24,
46.574.989/0001-48,Transportes Lopes S.A.,2311264,CE,2022-10-01,
08.085.283/0001-23,Consultoria Pereira ME,3165800,MG,2014-07-25,414.278.991-00
06.514.722/0001-40,Indústria Silva S.A.,1702208,TO,2008-09-23,
76.587.200/0001-54,Indústria Pereira Ltda,2101939,MA,2015-11-25,
42.629.196/0001-28,Consultoria Ribeiro Ltda,2921104,BA,2010-07-15,
77.021.425/0001-01,Tecnologia Dias EIRELI,5005400,MS,2020-09-16,772.056.054-07
29.861.862/0001-90,Comércio de Alimentos Ferreira S.A.,5210406,GO,2009-12-13,
91.885.459/0001-75,Logística Santos EIRELI,3301850,RJ,2022-12-01,
92.022.483/0001-43,Transportes Pereira S.A.,3554508,SP,2005-08-16,
34.835.873/0001-36,Tecnologia Barbosa Ltda,2203107,PI,2011-12-07,
02.699.458/0001-06,Comércio de Alimentos Dias EPP,2914406,BA,2011-11-21,
97.819.301/0001-83,Indústria Ferreira Ltda,2207355,PI,2016-03-25,
96.343.576/0001-20,Construções Oliveira ME,3148103,MG,2005-02-11,
95.999.539/0001-02,Consultoria Nunes EIRELI,4205308,SC,2013-09-02,
44.712.464/0001-04,Serviços Mendes Ltda,3205036,ES,2017-01-04,
46.969.749/0006-57,Indústria Soares Ltda,4126207,PR,2023-09-07,229.485.314-89
74.227.988/0001-62,Construções Mendes ME,3554201,SP,2023-03-14,579.992.735-46
98.286.822/0002-66,Distribuidora Moraes S.A.,1704105,TO,2010-08-04,
09.532.315/0001-54,Materiais Fernandes EPP,3507407,SP,2025-05-31,
40.143.342/0004-28,Materiais Vieira EPP,1600501,AP,2015-02-26,
64.488.688/0001-83,Logística Araújo EPP,3541703,SP,2012-05-15,
29.011.655/0006-51,Logística Cardoso S.A.,2102556,MA,2022-03-19,
33.200.654/0001-18,Materiais Moraes Ltda,4306924,RS,2012-09-24,831.919.093-20
34.033.145/0001-00,Consultoria Lopes EIRELI,5108907,MT,2024-04-22,
33.884.477/0001-36,Distribuidora Martins EPP,4110052,PR,2016-12-08,
82.039.637/0001-56,Tecnologia Santos EPP,5219902,GO,2014-07-26,418.076.928-09
22.954.644/0001-51,Consultoria Mendes ME,3170750,MG,2014-10-25,
88.035.900/0001-15,Consultoria Araújo EPP,5108204,MT,2020-08-06,882.851.185-09
00.533.613/0001-94,Comércio de Alimentos Fernandes S.A.,5222203,GO,2018-10-26,200.027.280-01
17.308.538/0001-60,Indústria Silva Ltda,1707652,TO,2022-06-24,593.559.201-05
35.087.618/0001-15,Tecnologia Almeida ME,2406502,RN,2023-06-17,
17.620.221/0001-65,Consultoria Lopes EIRELI,2201556,PI,2025-12-10,757.410.462-07
99.189.970/0001-44,Logística Ribeiro EPP,3502002,SP,2008-11-11,
32.737.646/0001-42,Logística Mendes EIRELI,2703502,AL,2020-09-11,107.439.705-35
73.709.380/0001-01,Logística Fernandes S.A.,2402105,RN,2022-02-12,
04.705.507/0001-00,Comércio de Alimentos Nunes EPP,5107156,MT,2022-08-30,476.785.271-44
41.857.092/0001-08,Transportes Teixeira EIRELI,3153103,MG,2014-12-30,
72.290.862/0001-07,Construções Costa EIRELI,4316808,RS,2017-12-24,
91.640.413/0001-96,Transportes Martins EPP,3534005,SP,2018-04-01,385.046.309-51
91.945.381/0001-37,Serviços Soares ME,4306403,RS,2012-10-27,
48.313.391/0001-20,Tecnologia Carvalho S.A.,2803104,SE,2020-07-16,736.102.571-48
38.791.234/0001-77,Indústria Fernandes EIRELI,2925931,BA,2006-05-05,196.664.742-55
69.875.360/0001-33,Comércio de Alimentos Vieira EPP,3136652,MG,2012-10-10,195.504.035-48
67.379.067/0007-45,Comércio de Alimentos Santos Ltda,2918753,BA,2010-07-16,
01.253.192/0001-00,Logística Ferreira S.A.,3149200,MG,2014-12-23,
30.187.184/0001-01,Comércio de Alimentos Oliveira ME,3555406,SP,2024-05-21,136.709.349-01
27.933.401/0004-01,Indústria Silva S.A.,4124905,PR,2017-01-18,
26.317.243/0001-41,Serviços Costa Ltda,2608255,PE,2015-07-31,
16.545.502/0001-38,Consultoria Silva EPP,2510402,PB,2012-06-07,117.746.077-78
68.073.573/0006-93,Tecnologia Rocha S.A.,3552007,SP,2020-10-22,
06.445.991/0001-00,Tecnologia Martins S.A.,2100402,MA,2025-11-18,
75.576.992/0001-07,Materiais Cardoso Ltda,2102754,MA,2025-09-23,
42.641.593/0001-15,Materiais Costa EPP,3556206,SP,2013-05-14,
85.886.080/0001-87,Logística Cardoso EIRELI,3122306,MG,2012-07-23,
21.635.147/0001-28,Serviços Oliveira EIRELI,4306379,RS,2016-10-27,
72.771.740/0001-32,Logística Fernandes EPP,2923308,BA,2025-07-30,080.287.140-21
95.997.969/0001-95,Transportes Rodrigues EPP,1718808,TO,2023-12-29,
39.680.282/0001-50,Serviços Nunes S.A.,2502003,PB,2015-12-22,066.545.823-14
04.574.618/0001-16,Indústria Nunes S.A.,4203006,SC,2014-10-25,385.936.152-01
17.804.621/0001-20,Materiais Vieira Ltda,2200954,PI,2012-11-22,016.517.040-90
29.380.806/0001-34,Comércio de Alimentos Ribeiro Ltda,4125605,PR,2025-12-23,
77.978.415/0005-92,Tecnologia Nunes Ltda,4307609,RS,2024-05-04,306.691.062-83
32.067.674/0001-08,Consultoria Santos S.A.,3304557,RJ,2012-11-16,320.132.751-45
94.259.449/0001-12,Comércio de Alimentos Lopes S.A.,2111672,MA,2019-12-25,
53.527.388/0001-40,Transportes Rodrigues Ltda,3134202,MG,2022-10-24,
96.935.923/0001-04,Serviços Mendes Ltda,2516508,PB,2020-12-22,
52.672.117/0001-15,Tecnologia Alves ME,2926004,BA,2025-05-14,
60.634.402/0001-70,Transportes Fernandes EPP,3131000,MG,2022-04-07,
17.484.459/0001-00,Comércio de Alimentos Nunes Ltda,3139201,MG,2023-10-27,971.191.874-90
22.952.240/0001-29,Indústria Araújo EPP,1501782,PA,2011-04-23,
45.291.675/0001-75,Serviços Araújo Ltda,2408607,RN,2014-10-10,547.830.673-84
11.995.582/0001-00,Consultoria Teixeira Ltda,4209201,SC,2021-03-28,
62.249.458/0006-40,Indústria Vieira Ltda,4123204,PR,2014-07-09,
40.464.628/0001-62,Logística Almeida EIRELI,2513406,PB,2023-11-03,
57.691.829/0001-03,Serviços Silva Ltda,4119152,PR,2011-05-15,
10.993.245/0001-10,Comércio de Alimentos Rocha S.A.,1505486,PA,2023-08-03,699.034.265-00
62.835.279/0001-80,Logística Alves Ltda,1301100,AM,2017-05-09,
82.649.054/0001-47,Transportes Almeida EIRELI,4119657,PR,2014-11-06,319.053.827-15
87.878.576/0001-34,Materiais Costa Ltda,2608305,PE,2021-06-18,
20.005.633/0001-08,Tecnologia Soares S.A.,2200400,PI,2017-09-28,478.662.774-78
05.593.001/0001-00,Tecnologia Mendes EIRELI,2207009,PI,2025-04-03,
20.326.640/0001-01,Construções Ribeiro Ltda,4314498,RS,2012-05-09,
55.477.174/0001-31,Transportes Costa EIRELI,1505536,PA,2020-04-20,
