id,cpf_fmt,cpf_sem_mask,cnpj_fmt,cnpj_sem_mask,filial_num
1,147.176.688-46,14717668846,97.971.488/0003-23,97971488000323,3
2,368.377.745-96,36837774596,26.753.883/0005-67,26753883000567,5
3,664.366.532-36,66436653236,71.662.963/0003-69,71662963000369,3
4,225.553.301-72,22555330172,82.340.307/0005-22,82340307000522,5
5,961.166.211-44,96116621144,43.744.231/0001-21,43744231000121,1
6,437.098.914-93,43709891493,56.164.955/0004-72,56164955000472,4
7,378.372.224-62,37837222462,19.046.318/0004-17,19046318000417,4
8,622.467.186-00,62246718600,95.822.412/0004-43,95822412000443,4
9,735.016.470-53,73501647053,57.683.626/0004-99,57683626000499,4
10,775.100.494-82,77510049482,60.992.979/0002-47,60992979000247,2
11,875.605.951-58,87560595158,73.791.320/0005-17,73791320000517,5
12,561.622.035-47,56162203547,22.575.562/0001-84,22575562000184,1
13,807.672.678-18,80767267818,73.440.831/0005-30,73440831000530,5
14,207.710.413-78,20771041378,19.528.530/0002-18,19528530000218,2
15,211.455.909-13,21145590913,12.614.124/0002-61,12614124000261,2
16,911.331.662-33,91133166233,20.709.497/0005-86,20709497000586,5
17,917.750.677-74,91775067774,85.329.037/0004-94,85329037000494,4
18,898.162.647-16,89816264716,61.642.594/0003-43,61642594000343,3
19,560.256.933-25,56025693325,40.587.988/0003-60,40587988000360,3
20,514.271.104-40,51427110440,88.320.463/0003-19,88320463000319,3
21,701.695.517-31,70169551731,95.758.349/0005-22,95758349000522,5
22,833.290.964-16,83329096416,93.016.315/0005-43,93016315000543,5
23,582.938.338-28,58293833828,59.684.848/0002-66,59684848000266,2
24,865.953.513-46,86595351346,20.570.592/0003-88,20570592000388,3
25,993.658.137-77,99365813777,89.978.790/0001-95,89978790000195,1
26,865.238.795-78,86523879578,45.833.156/0001-27,45833156000127,1
27,240.207.743-83,24020774383,47.376.585/0001-80,47376585000180,1
28,450.273.820-58,45027382058,59.684.848/0005-36,59684848000536,5
29,560.317.938-31,56031793831,49.349.722/0003-74,49349722000374,3
30,464.579.666-88,46457966688,82.374.753/0001-21,82374753000121,1
31,685.588.057-95,68558805795,84.346.088/0003-15,84346088000315,3
32,529.649.015-82,52964901582,36.998.038/0002-91,36998038000291,2
33,485.679.385-30,48567938530,58.181.396/0004-80,58181396000480,4
34,688.653.934-68,68865393468,45.812.670/0001-24,45812670000124,1
35,310.622.128-42,31062212842,84.252.722/0001-57,84252722000157,1
36,855.163.035-68,85516303568,23.718.431/0004-26,23718431000426,4
37,488.343.592-62,48834359262,40.742.311/0001-55,40742311000155,1
38,576.861.354-91,57686135491,63.551.839/0005-62,63551839000562,5
