id,br_celular_fmt,br_celular_sem,br_fixo_fmt,com_ddi,tpch_style
1,(21) 913278-5506,219132785506,(21) 3003-4657,+55 21 913278-5506,21-242-854-2679
2,(81) 921395-7912,819213957912,(81) 2130-1488,+55 81 921395-7912,81-195-323-4811
3,(81) 988907-1434,819889071434,(81) 4298-4257,+55 81 988907-1434,81-833-765-9928
4,(61) 938893-8359,619388938359,(61) 4413-5557,+55 61 938893-8359,61-928-990-1106
5,(31) 965392-6574,319653926574,(31) 3138-3547,+55 31 965392-6574,31-320-881-6514
6,(21) 922156-7224,219221567224,(21) 2396-6881,+55 21 922156-7224,21-967-452-5333
7,(11) 970217-9785,119702179785,(11) 2511-7201,+55 11 970217-9785,11-180-665-5803
8,(85) 957400-4150,859574004150,(85) 4885-2139,+55 85 957400-4150,85-146-777-4733
9,(48) 920458-4814,489204584814,(48) 5549-2654,+55 48 920458-4814,48-489-384-8428
10,(51) 931319-7065,519313197065,(51) 3455-4432,+55 51 931319-7065,51-786-373-2169
11,(85) 993227-3803,859932273803,(85) 4187-5010,+55 85 993227-3803,85-267-573-7216
12,(48) 993886-4598,489938864598,(48) 4804-6313,+55 48 993886-4598,48-963-886-1916
13,(41) 914207-6168,419142076168,(41) 3643-5386,+55 41 914207-6168,41-167-316-6155
14,(41) 995909-9179,419959099179,(41) 3620-8517,+55 41 995909-9179,41-246-371-3287
15,(41) 983579-9830,419835799830,(41) 3076-8019,+55 41 983579-9830,41-697-508-6930
16,(41) 928131-9348,419281319348,(41) 4021-2489,+55 41 928131-9348,41-873-148-2796
17,(31) 992240-3621,319922403621,(31) 5244-7916,+55 31 992240-3621,31-710-165-7304
18,(61) 988104-8668,619881048668,(61) 4167-5119,+55 61 988104-8668,61-666-981-1188
19,(21) 999353-9797,219993539797,(21) 5075-5371,+55 21 999353-9797,21-887-756-6573
20,(21) 948469-8123,219484698123,(21) 2647-8433,+55 21 948469-8123,21-103-839-5315
21,(81) 933416-9317,819334169317,(81) 5738-2743,+55 81 933416-9317,81-991-740-5889
22,(81) 989818-4258,819898184258,(81) 2626-7126,+55 81 989818-4258,81-880-265-9837
23,(81) 910074-6310,819100746310,(81) 4001-1319,+55 81 910074-6310,81-214-471-6038
24,(41) 917592-4946,419175924946,(41) 5596-2290,+55 41 917592-4946,41-187-849-8962
25,(21) 979822-3060,219798223060,(21) 2525-8787,+55 21 979822-3060,21-662-269-5342
26,(81) 989507-7932,819895077932,(81) 5950-4470,+55 81 989507-7932,81-652-873-4295
27,(48) 962296-7118,489622967118,(48) 3794-9479,+55 48 962296-7118,48-562-223-5061
28,(41) 918392-6539,419183926539,(41) 2086-4770,+55 41 918392-6539,41-702-325-1117
29,(21) 992719-1964,219927191964,(21) 2937-2104,+55 21 992719-1964,21-132-980-6413
30,(21) 977391-4899,219773914899,(21) 3140-8953,+55 21 977391-4899,21-319-652-3167
31,(85) 985525-8744,859855258744,(85) 2995-8749,+55 85 985525-8744,85-926-516-4119
32,(21) 922704-8062,219227048062,(21) 3451-7939,+55 21 922704-8062,21-520-578-1887
33,(21) 917944-7596,219179447596,(21) 4982-6559,+55 21 917944-7596,21-919-982-2790
34,(41) 935112-4116,419351124116,(41) 4196-8350,+55 41 935112-4116,41-243-532-4006
35,(48) 970637-5092,489706375092,(48) 5581-2235,+55 48 970637-5092,48-553-927-2604
36,(11) 995477-9856,119954779856,(11) 5424-1241,+55 11 995477-9856,11-195-871-4872
37,(31) 963269-8956,319632698956,(31) 3971-4502,+55 31 963269-8956,31-985-510-1960
38,(31) 959672-1035,319596721035,(31) 3599-5345,+55 31 959672-1035,31-902-903-8454
39,(48) 965444-8973,489654448973,(48) 2634-4111,+55 48 965444-8973,48-403-322-1958
40,(85) 981066-1998,859810661998,(85) 5063-6138,+55 85 981066-1998,85-158-151-8811
41,(81) 979615-3579,819796153579,(81) 2232-9320,+55 81 979615-3579,81-182-971-4044
42,(21) 987992-2113,219879922113,(21) 4765-4853,+55 21 987992-2113,21-513-222-5033
43,(85) 987924-1651,859879241651,(85) 4536-2343,+55 85 987924-1651,85-529-773-9565
44,(51) 944179-4346,519441794346,(51) 4743-6147,+55 51 944179-4346,51-344-371-7484
45,(31) 998039-5915,319980395915,(31) 3872-6180,+55 31 998039-5915,31-869-174-1152
46,(71) 991416-2638,719914162638,(71) 2300-9808,+55 71 991416-2638,71-318-618-5345
47,(31) 955745-2127,319557452127,(31) 5601-5002,+55 31 955745-2127,31-478-391-3584
48,(71) 981200-5956,719812005956,(71) 4505-9666,+55 71 981200-5956,71-108-783-5905
49,(21) 927601-5333,219276015333,(21) 2472-2753,+55 21 927601-5333,21-860-666-3546
50,(48) 946930-4450,489469304450,(48) 4939-6617,+55 48 946930-4450,48-308-803-5325
51,(81) 974032-5114,819740325114,(81) 5708-1832,+55 81 974032-5114,81-194-749-7939
52,(48) 915778-1058,489157781058,(48) 3366-3143,+55 48 915778-1058,48-752-368-3647
53,(71) 982309-8007,719823098007,(71) 4297-1158,+55 71 982309-8007,71-214-177-3442
54,(81) 914722-7049,819147227049,(81) 4385-3426,+55 81 914722-7049,81-540-230-1685
55,(48) 957795-1653,489577951653,(48) 5681-6862,+55 48 957795-1653,48-315-798-5088
56,(21) 956357-7658,219563577658,(21) 5988-3532,+55 21 956357-7658,21-342-985-3662
57,(31) 964040-1406,319640401406,(31) 2734-6442,+55 31 964040-1406,31-901-521-5065
58,(48) 930866-2771,489308662771,(48) 3566-1634,+55 48 930866-2771,48-979-581-4644
59,(41) 970332-6728,419703326728,(41) 3250-4728,+55 41 970332-6728,41-328-124-4164
60,(61) 953025-5564,619530255564,(61) 5540-2137,+55 61 953025-5564,61-891-385-6753
61,(81) 962386-9785,819623869785,(81) 3356-1452,+55 81 962386-9785,81-218-998-5279
62,(31) 986099-5349,319860995349,(31) 2156-2776,+55 31 986099-5349,31-710-544-6663
63,(51) 967199-9379,519671999379,(51) 2473-7311,+55 51 967199-9379,51-690-294-5173
