id,br_celular_fmt,br_celular_sem,br_fixo_fmt,com_ddi,internacional_eua,tpch_style,e164,com_falha
1,(11) 91234-5678,11912345678,(11) 3456-7890,+55 11 91234-5678,+1 (415) 555-1234,11-456-789-0123,+551191234567,
2,(11) 98765-4321,11987654321,(11) 2345-6789,+55 11 98765-4321,+1 (212) 555-9876,11-345-678-0123,+551198765432,
3,(21) 91111-2222,21911112222,(21) 2222-3333,+55 21 91111-2222,+44 20 7946 0958,21-111-222-3333,+552191111222,
4,(11) 91234-5678,11912345678,(11) 3456-7890,+55 11 91234-5678,+1 (415) 555-1234,11-456-789-0123,+551191234567,duplicata
5,(31) 92222-3333,31922223333,(31) 3333-4444,+55 31 92222-3333,+33 1 23 45 67 89,31-222-333-4444,+553192222333,
6,(85) 93333-4444,85933334444,(85) 4444-5555,+55 85 93333-4444,+49 30 12345678,85-333-444-5555,+558593333444,
7,(11) 91234-5678,11912345678,(11) 3456-7890,+55 11 91234-5678,+1 (415) 555-1234,11-456-789-0123,+551191234567,duplicata
8,(48) 94444-5555,48944445555,(48) 5555-6666,+55 48 94444-5555,+81 3-1234-5678,48-444-555-6666,+554894444555,
9,(11) 9 1234-5678,11912345678,(11) 3 4567-8901,+55 (11) 9 1234-5678,,11-456-789-0123,,formato variado
10,11912345678,11912345678,1134567890,5511912345678,14155551234,114567890123,551191234567,sem mask
11,(11)91234-5678,11912345678,(11)3456-7890,+5511912345678,+14155551234,11-4567-89-0123,+551191234567,sem espaco
12,(11) 91234-5678 ramal 22,11912345678,,,,,,com extensao
13,(11),,,,,,,parcial
14,12345,12345,,,,,,muito curto
15,nao informado,,,,,,,vazio textual
16,,,,,,,,vazio
17,(11) 1234-5678,1112345678,,,,,,celular sem 9
18,(00) 00000-0000,00000000000,,,,,,placeholder
19,(99) 99999-9999,99999999999,(99) 9999-9999,+55 99 99999-9999,,99-999-999-9999,+559999999999,sequencia
20,(11) 91234-5678 / (21) 92345-6789,,,,,,,duas em um campo
21,+55 (11) 9.1234-5678,11912345678,,,,,,com pontos
22,(11) 91234-5678,11912345678,(11) 3456-7890,+55 11 91234-5678,+1 (415) 555-1234,11-456-789-0123,+551191234567,duplicata
23,(21) 92223-4444,21922234444,(21) 3334-5555,+55 21 92223-4444,+1 (310) 555-2468,21-222-344-4555,+552192223444,
24,(31) 93334-5555,31933345555,(31) 4445-6666,+55 31 93334-5555,+44 20 7123 4567,31-333-455-5666,+553193334555,
25,(85) 94445-6666,85944456666,(85) 5556-7777,+55 85 94445-6666,+33 1 98 76 54 32,85-444-566-6777,+558594445666,
