*2+304147975|\526018157
*2-578314471|\609139097
*2-129126150|\948219935
*2-260266754|\579754328
*2+70930702|\118625275
*2+35036479|\711471048
*2+9344759|\703423669
*2-515770772|\846563213
*2-607328664|\685995280
*2-592209057|\603137214
*2-21847183|\139624595
*2+261134475|\547280384
*2-202546640|\538885398
*2+503874156|\047439578
*2-426423444|\799075119
*2+177549904|\122202978
*2+465691565|\018263303
*2+822742197|\057986826
*2-611471871|\791805887
*2-322881507|\801759896
*2-347592036|\483726165
*2-291586606|\524273169
*2+143889332|\515058778
*2+334848730|\311440248
*2+279052764|\140261407
