id,um_dominio,multi_dominio,com_tag
1,user0000@gmail.com,carlos.silva@hotmail.com,carlos.silva+tag0@gmail.com
2,user0001@gmail.com,julia.rodrigues@yahoo.com,julia.rodrigues+tag1@gmail.com
3,user0002@gmail.com,carlos.paiva@gmail.com,carlos.paiva+tag2@gmail.com
4,user0003@gmail.com,jose.carvalho@gmail.com,jose.carvalho+tag3@gmail.com
5,user0004@gmail.com,maria.lima@yahoo.com,maria.lima+tag4@gmail.com
6,user0005@gmail.com,julia.cruz@uol.com.br,julia.cruz+tag5@gmail.com
7,user0006@gmail.com,maria.paiva@yahoo.com,maria.paiva+tag6@gmail.com
8,user0007@gmail.com,igor.carvalho@yahoo.com,igor.carvalho+tag7@gmail.com
9,user0008@gmail.com,fabio.faria@hotmail.com,fabio.faria+tag8@gmail.com
10,user0009@gmail.com,maria.santos@outlook.com,maria.santos+tag9@gmail.com
11,user0010@gmail.com,bruno.alves@yahoo.com,bruno.alves+tag10@gmail.com
12,user0011@gmail.com,lucas.gomes@gmail.com,lucas.gomes+tag11@gmail.com
13,user0012@gmail.com,ana.araujo@gmail.com,ana.araujo+tag12@gmail.com
14,user0013@gmail.com,clara.martins@uol.com.br,clara.martins+tag13@gmail.com
15,user0014@gmail.com,rafael.souza@outlook.com,rafael.souza+tag14@gmail.com
16,user0015@gmail.com,igor.costa@outlook.com,igor.costa+tag15@gmail.com
17,user0016@gmail.com,ana.paiva@hotmail.com,ana.paiva+tag16@gmail.com
18,user0017@gmail.com,mariana.martins@uol.com.br,mariana.martins+tag17@gmail.com
19,user0018@gmail.com,lucas.lima@gmail.com,lucas.lima+tag18@gmail.com
20,user0019@gmail.com,julia.ferreira@gmail.com,julia.ferreira+tag19@gmail.com
21,user0020@gmail.com,julia.costa@outlook.com,julia.costa+tag20@gmail.com
22,user0021@gmail.com,rafael.melo@hotmail.com,rafael.melo+tag21@gmail.com
23,user0022@gmail.com,beatriz.martins@hotmail.com,beatriz.martins+tag22@gmail.com
24,user0023@gmail.com,lucas.alves@gmail.com,lucas.alves+tag23@gmail.com
25,user0024@gmail.com,mariana.santos@uol.com.br,mariana.santos+tag24@gmail.com
26,user0025@gmail.com,julia.santos@outlook.com,julia.santos+tag25@gmail.com
27,user0026@gmail.com,diego.alves@uol.com.br,diego.alves+tag26@gmail.com
28,user0027@gmail.com,julia.gomes@gmail.com,julia.gomes+tag27@gmail.com
29,user0028@gmail.com,julia.souza@hotmail.com,julia.souza+tag28@gmail.com
30,user0029@gmail.com,diego.alves@gmail.com,diego.alves+tag29@gmail.com
31,user0030@gmail.com,lucas.faria@hotmail.com,lucas.faria+tag30@gmail.com
32,user0031@gmail.com,lucas.dias@outlook.com,lucas.dias+tag31@gmail.com
33,user0032@gmail.com,fabio.pereira@hotmail.com,fabio.pereira+tag32@gmail.com
34,user0033@gmail.com,pedro.rodrigues@uol.com.br,pedro.rodrigues+tag33@gmail.com
35,user0034@gmail.com,igor.alves@uol.com.br,igor.alves+tag34@gmail.com
36,user0035@gmail.com,erica.faria@outlook.com,erica.faria+tag35@gmail.com
37,user0036@gmail.com,clara.rodrigues@yahoo.com,clara.rodrigues+tag36@gmail.com
38,user0037@gmail.com,heitor.dias@gmail.com,heitor.dias+tag37@gmail.com
39,user0038@gmail.com,joao.costa@yahoo.com,joao.costa+tag38@gmail.com
40,user0039@gmail.com,beatriz.carvalho@uol.com.br,beatriz.carvalho+tag39@gmail.com
41,user0040@gmail.com,ana.araujo@outlook.com,ana.araujo+tag40@gmail.com
42,user0041@gmail.com,mariana.melo@uol.com.br,mariana.melo+tag41@gmail.com
43,user0042@gmail.com,rafael.paiva@gmail.com,rafael.paiva+tag42@gmail.com
44,user0043@gmail.com,carlos.paiva@hotmail.com,carlos.paiva+tag43@gmail.com
45,user0044@gmail.com,bruno.costa@hotmail.com,bruno.costa+tag44@gmail.com
46,user0045@gmail.com,erica.santos@outlook.com,erica.santos+tag45@gmail.com
47,user0046@gmail.com,maria.alves@uol.com.br,maria.alves+tag46@gmail.com
48,user0047@gmail.com,beatriz.cruz@gmail.com,beatriz.cruz+tag47@gmail.com
49,user0048@gmail.com,paula.cruz@uol.com.br,paula.cruz+tag48@gmail.com
50,user0049@gmail.com,lucas.pereira@hotmail.com,lucas.pereira+tag49@gmail.com
51,user0050@gmail.com,beatriz.paiva@uol.com.br,beatriz.paiva+tag50@gmail.com
52,user0051@gmail.com,maria.macedo@hotmail.com,maria.macedo+tag51@gmail.com
53,user0052@gmail.com,gabi.silva@gmail.com,gabi.silva+tag52@gmail.com
54,user0053@gmail.com,clara.ferreira@yahoo.com,clara.ferreira+tag53@gmail.com
55,user0054@gmail.com,joao.rodrigues@uol.com.br,joao.rodrigues+tag54@gmail.com
56,user0055@gmail.com,ana.lima@outlook.com,ana.lima+tag55@gmail.com
57,user0056@gmail.com,ana.paiva@yahoo.com,ana.paiva+tag56@gmail.com
58,user0057@gmail.com,pedro.dias@uol.com.br,pedro.dias+tag57@gmail.com
59,user0058@gmail.com,beatriz.alves@uol.com.br,beatriz.alves+tag58@gmail.com
60,user0059@gmail.com,mariana.carvalho@yahoo.com,mariana.carvalho+tag59@gmail.com
61,user0060@gmail.com,igor.oliveira@hotmail.com,igor.oliveira+tag60@gmail.com
62,user0061@gmail.com,diego.martins@outlook.com,diego.martins+tag61@gmail.com
63,user0062@gmail.com,heitor.melo@gmail.com,heitor.melo+tag62@gmail.com
64,user0063@gmail.com,julia.rodrigues@gmail.com,julia.rodrigues+tag63@gmail.com
65,user0064@gmail.com,bruno.silva@uol.com.br,bruno.silva+tag64@gmail.com
66,user0065@gmail.com,igor.rodrigues@uol.com.br,igor.rodrigues+tag65@gmail.com
67,user0066@gmail.com,julia.silva@gmail.com,julia.silva+tag66@gmail.com
68,user0067@gmail.com,joao.rodrigues@gmail.com,joao.rodrigues+tag67@gmail.com
69,user0068@gmail.com,joao.gomes@gmail.com,joao.gomes+tag68@gmail.com
70,user0069@gmail.com,heitor.rodrigues@hotmail.com,heitor.rodrigues+tag69@gmail.com
71,user0070@gmail.com,gabi.oliveira@uol.com.br,gabi.oliveira+tag70@gmail.com
72,user0071@gmail.com,pedro.faria@uol.com.br,pedro.faria+tag71@gmail.com
73,user0072@gmail.com,gabi.rodrigues@outlook.com,gabi.rodrigues+tag72@gmail.com
74,user0073@gmail.com,erica.oliveira@gmail.com,erica.oliveira+tag73@gmail.com
75,user0074@gmail.com,carlos.carvalho@hotmail.com,carlos.carvalho+tag74@gmail.com
76,user0075@gmail.com,erica.carvalho@outlook.com,erica.carvalho+tag75@gmail.com
77,user0076@gmail.com,joao.costa@gmail.com,joao.costa+tag76@gmail.com
78,user0077@gmail.com,diego.gomes@gmail.com,diego.gomes+tag77@gmail.com
79,user0078@gmail.com,julia.oliveira@yahoo.com,julia.oliveira+tag78@gmail.com
