id,cpf_fmt,cpf_sem_mask,cpf_mascarado,cnpj_matriz_fmt,cnpj_sem_mask,cnpj_filial_fmt,com_falha
1,123.456.789-09,12345678909,***.456.789-**,12.345.678/0001-90,12345678000190,12.345.678/0002-71,
2,987.654.321-00,98765432100,***.654.321-**,98.765.432/0001-10,98765432000110,98.765.432/0002-90,
3,111.222.333-44,11122233344,***.222.333-**,11.222.333/0001-44,11222333000144,11.222.333/0003-15,
4,444.555.666-77,44455566677,***.555.666-**,44.555.666/0001-77,44555666000177,44.555.666/0002-58,
5,777.888.999-00,77788899900,***.888.999-**,77.888.999/0001-00,77888999000100,77.888.999/0004-83,
6,123.456.789-09,12345678909,***.456.789-**,12.345.678/0001-90,12345678000190,12.345.678/0002-71,
7,000.000.000-00,00000000000,***.000.000-**,00.000.000/0000-00,00000000000000,,placeholder
8,111.111.111-11,11111111111,***.111.111-**,11.111.111/0001-11,11111111000111,,sequencia repetida
9,222.333.444-55,22233344455,***.333.444-**,22.333.444/0001-55,22333444000155,22.333.444/0002-36,
10,555.666.777-88,55566677788,***.666.777-**,55.666.777/0001-88,55666777000188,55.666.777/0002-69,
11,888.999.000-11,88899900011,***.999.000-**,88.999.000/0001-11,88999000000111,88.999.000/0003-92,
12,123.456.7,12345678,***,123.456,12345678,,truncado
13,abc.def.ghi-jk,abcdefghijk,,,letras invalidas,,
14,,,,,,,vazio
15,nao informado,nao informado,nao informado,nao informado,nao informado,nao informado,vazio textual
16,123.456.789-09 ,  12345678909, ***.456.789-** ,12.345.678/0001-90 , 12345678000190,, espaco extra
17,123.456.789/09,12345678909,***.456.789-**,12-345-678/0001-90,12345678000190,,separador errado
18,222.333.444-55,22233344455,***.333.444-**,22.333.444/0001-55,22333444000155,22.333.444/0005-89,5a filial
19,222.333.444-55,22233344455,***.333.444-**,22.333.444/0001-55,22333444000155,22.333.444/0010-78,10a filial
20,222.333.444-55,22233344455,***.333.444-**,22.333.444/0001-55,22333444000155,22.333.444/0099-25,99a filial
21,333.444.555-66,33344455566,***.444.555-**,33.444.555/0001-66,33444555000166,,
22,666.777.888-99,66677788899,***.777.888-**,66.777.888/0001-99,66777888000199,66.777.888/0002-70,
23,123.456.789-09,12345678909,***.456.789-**,12.345.678/0001-90,12345678000190,12.345.678/0002-71,duplicata
24,987.654.321-00,98765432100,***.654.321-**,98.765.432/0001-10,98765432000110,98.765.432/0002-90,duplicata
25,123.456.789-09,12345678909,***.456.789-**,12.345.678/0001-90,12345678000190,12.345.678/0002-71,duplicata
